total_time_us,basis,seed,bare_qubit_failure_rate,rounds,interval_us,idle_per_round_us,shots,logical_failures,logical_failure_rate,confidence_low,confidence_high,raw_logical_failure_rate,mean_detection_events,decoder_interval_bit_error,decoder_syndrome_bit_error,decoder_terminal_bit_error,logical_fidelity,fidelity_low,fidelity_high
175,Z,2026091611,0.2957376103575309,1,175.0,173.0,5000,2193,0.4386,0.42489819139343293,0.4523960824054201,0.4574,1.798,0.2917116100405785,0.020694096430707243,0.010000000000000009,0.5614,0.5476039175945799,0.5751018086065671
200,Z,2026091612,0.31973907382599326,1,200.0,198.0,5000,2277,0.4554,0.44163570420016457,0.46923277481333464,0.4754,1.8454,0.3161861410164782,0.020694096430707243,0.010000000000000009,0.5446,0.5307672251866653,0.5583642957998354
10,Z,2026092600,0.03389758199465015,2,5.0,3.0,5000,90,0.018,0.014667759588024541,0.02207230508701053,0.0992,0.4718,0.012678724138706354,0.020694096430707243,0.010000000000000009,0.982,0.9779276949129895,0.9853322404119754
16,Z,2026092601,0.0476729902705485,2,8.0,6.0,5000,135,0.027,0.022857553563632692,0.031868692476391354,0.1324,0.6064,0.019933992726441863,0.020694096430707243,0.010000000000000009,0.973,0.9681313075236087,0.9771424464363673
20,Z,2026092602,0.05662966516237983,2,10.0,8.0,5000,199,0.0398,0.034725287113523226,0.045581305756707366,0.1548,0.7116,0.024710729310186863,0.020694096430707243,0.010000000000000009,0.9601999999999999,0.9544186942432926,0.9652747128864768
30,Z,2026092603,0.07825309155172167,2,15.0,13.0,5000,306,0.0612,0.05488694601595172,0.06818678921103043,0.1932,0.9328,0.036445663215507906,0.020694096430707243,0.010000000000000009,0.9388,0.9318132107889696,0.9451130539840483
40,Z,2026092604,0.09882193099178893,2,20.0,18.0,5000,438,0.0876,0.08007697237976286,0.09575622818452026,0.2404,1.1332,0.04789086057036496,0.020694096430707243,0.010000000000000009,0.9124,0.9042437718154798,0.9199230276202371
50,Z,2026092605,0.1183876162950116,2,25.0,23.0,5000,594,0.1188,0.1101230482928192,0.12806224767009236,0.279,1.3462,0.05905347499567748,0.020694096430707243,0.010000000000000009,0.8812,0.8719377523299077,0.8898769517071808
65,Z,2026092606,0.1459615967153846,2,32.5,30.5,5000,825,0.165,0.15496950416959418,0.17554485613359413,0.3218,1.6296,0.07528276860244176,0.020694096430707243,0.010000000000000009,0.835,0.8244551438664058,0.8450304958304058
80,Z,2026092607,0.17154317744253672,2,40.0,38.0,5000,1017,0.2034,0.19247237001123985,0.2147830307825681,0.359,1.8868,0.09091473360802937,0.020694096430707243,0.010000000000000009,0.7966,0.7852169692174319,0.8075276299887602
100,Z,2026092608,0.20279997674080963,2,50.0,48.0,5000,1308,0.2616,0.24960406368681193,0.27396197660059135,0.3972,2.1704,0.11086605747824446,0.020694096430707243,0.010000000000000009,0.7384,0.7260380233994086,0.750395936313188
125,Z,2026092609,0.23772190002569477,2,62.5,60.5,5000,1552,0.3104,0.2977256810731554,0.3233654315044104,0.426,2.45,0.13444249121095464,0.020694096430707243,0.010000000000000009,0.6896,0.6766345684955897,0.7022743189268446
150,Z,2026092610,0.2685403891569028,2,75.0,73.0,5000,1797,0.3594,0.3462127920854697,0.3728030857014805,0.4458,2.6582,0.15659050103401878,0.020694096430707243,0.010000000000000009,0.6406000000000001,0.6271969142985194,0.6537872079145304
175,Z,2026092611,0.2957376103575309,2,87.5,85.5,5000,1980,0.396,0.3825288854414339,0.4096307965631381,0.4536,2.8452,0.17739663077712647,0.020694096430707243,0.010000000000000009,0.604,0.590369203436862,0.6174711145585661
200,Z,2026092612,0.31973907382599326,2,100.0,98.0,5000,2129,0.4258,0.41215652405465375,0.4395574029139928,0.4718,2.9998,0.19694218084439374,0.020694096430707243,0.010000000000000009,0.5742,0.5604425970860072,0.5878434759453462
10,Z,2026093600,0.03389758199465015,4,2.5,0.5,5000,64,0.0128,0.010037035568302636,0.01631101320696103,0.0896,0.764,0.006548977085564955,0.020694096430707243,0.010000000000000009,0.9872,0.983688986793039,0.9899629644316974
16,Z,2026093601,0.0476729902705485,4,4.0,2.0,5000,123,0.0246,0.02065752018768066,0.02927241082167966,0.1224,0.9318,0.01023601607822161,0.020694096430707243,0.010000000000000009,0.9754,0.9707275891783204,0.9793424798123194
20,Z,2026093602,0.05662966516237983,4,5.0,3.0,5000,172,0.0344,0.029695007439577953,0.039819876611659255,0.155,1.0516,0.012678724138706354,0.020694096430707243,0.010000000000000009,0.9656,0.9601801233883407,0.970304992560422
30,Z,2026093603,0.07825309155172167,4,7.5,5.5,5000,265,0.053,0.04712629144933971,0.059560034089541365,0.197,1.2846,0.01873232625103155,0.020694096430707243,0.010000000000000009,0.947,0.9404399659104586,0.9528737085506603
